"STUB_1","STUB_2","1/5/18","12/29/17","1/6/17","1/8/16","1/5/18","1/6/17"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,992","2,035","2,057","1,984","2,120","2,161"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,947","2,024","1,911","1,805","2,052","1,899"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","242","269","310","312","270","309"
"Refiner and Blender Net Production ","West Coast (PADD 5)","494","428","407","383","460","444"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","5,163","5,454","5,248","5,193","5,608","5,600"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,778","1,915","1,826","1,802","1,939","1,950"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,839","1,903","1,881","1,837","1,997","2,010"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","886","930","886","893","952","949"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","264","277","272","280","288","288"
"Refiner and Blender Net Production ","West Coast (PADD 5)","397","428","383","382","431","404"
"Refiner and Blender Net Production ","Ed55 and Lower","5,160","5,450","5,245","5,191","5,604","5,597"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,777","1,914","1,825","1,801","1,938","1,949"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,837","1,902","1,880","1,836","1,995","2,009"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","885","929","886","892","952","948"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","264","277","272","280","287","288"
"Refiner and Blender Net Production ","West Coast (PADD 5)","397","428","383","381","431","404"
"Refiner and Blender Net Production ","Greater than Ed55","3","4","3","2","4","3"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1","1","1","0","1","1"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2","2","1","1","2","2"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1","0","0","0","1","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Other","1,212","1,066","1,194","962","1,108","1,081"
"Refiner and Blender Net Production ","East Coast (PADD 1)","-77","-152","-69","-131","-126","-82"
"Refiner and Blender Net Production ","Midwest (PADD 2)","153","131","176","147","123","150"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,061","1,095","1,025","912","1,100","951"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","-22","-9","39","33","-17","21"
"Refiner and Blender Net Production ","West Coast (PADD 5)","97","1","23","2","29","40"
"Refiner and Blender Net Production ","Kerosene-Type Jet Fuel","1,740","1,774","1,707","1,643","1,768","1,658"
"Refiner and Blender Net Production ","East Coast (PADD 1)","97","101","78","97","103","76"
"Refiner and Blender Net Production ","Midwest (PADD 2)","256","258","269","230","259","249"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","852","901","859","839","881","867"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","35","41","32","38","35","32"
"Refiner and Blender Net Production ","West Coast (PADD 5)","500","473","469","438","490","435"
"Refiner and Blender Net Production ","Commercial","1,663","1,697","1,622","1,575","1,680","1,572"
"Refiner and Blender Net Production ","East Coast (PADD 1)","97","101","78","97","103","76"
"Refiner and Blender Net Production ","Midwest (PADD 2)","256","255","255","228","255","244"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","794","843","809","788","823","812"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","33","39","31","36","33","31"
"Refiner and Blender Net Production ","West Coast (PADD 5)","484","459","449","425","466","410"
"Refiner and Blender Net Production ","Military","77","76","84","68","88","86"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1","2","14","2","4","5"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","57","58","50","51","58","55"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","2","2","1","2","2","1"
"Refiner and Blender Net Production ","West Coast (PADD 5)","17","14","20","13","24","25"
"Refiner and Blender Net Production ","Distillate Fuel Oil","5,291","5,592","5,324","4,760","5,391","5,183"
"Refiner and Blender Net Production ","East Coast (PADD 1)","354","385","355","340","366","352"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,093","1,181","1,129","1,072","1,167","1,142"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,967","3,199","3,089","2,605","3,029","2,942"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","196","210","204","221","204","201"
"Refiner and Blender Net Production ","West Coast (PADD 5)","681","616","547","522","625","545"
"Refiner and Blender Net Production ","15 ppm sulfur and Under","4,932","5,201","4,951","4,480","5,028","4,814"
"Refiner and Blender Net Production ","East Coast (PADD 1)","305","337","281","300","317","270"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,087","1,182","1,137","1,070","1,167","1,143"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,702","2,866","2,794","2,400","2,739","2,676"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","193","207","205","223","203","201"
"Refiner and Blender Net Production ","West Coast (PADD 5)","646","609","535","487","602","523"
"Refiner and Blender Net Production ","> 15 ppm to 500 ppm sulfur","153","145","168","130","139","138"
"Refiner and Blender Net Production ","East Coast (PADD 1)","5","2","21","18","5","17"
"Refiner and Blender Net Production ","Midwest (PADD 2)","18","6","12","1","8","7"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","115","126","130","90","113","105"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","4","4","0","0","2","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","11","7","5","21","11","10"
"Refiner and Blender Net Production ","> 500 ppm sulfur","206","246","206","150","224","231"
"Refiner and Blender Net Production ","East Coast (PADD 1)","44","46","53","21","44","66"
"Refiner and Blender Net Production ","Midwest (PADD 2)","-12","-6","-19","1","-8","-8"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","151","207","166","116","177","162"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","-1","-2","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","24","0","7","14","12","11"
"Refiner and Blender Net Production ","Residual Fuel Oil","451","396","403","350","432","413"
"Refiner and Blender Net Production ","East Coast (PADD 1)","35","42","49","42","41","49"
"Refiner and Blender Net Production ","Midwest (PADD 2)","53","60","60","48","53","54"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","225","183","188","153","213","208"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","13","12","13","13","12","11"
"Refiner and Blender Net Production ","West Coast (PADD 5)","125","99","94","95","113","91"
"Refiner and Blender Net Production ","Propane/Propylene","1,837","1,939","1,768","1,698","1,895","1,724"
"Refiner and Blender Net Production ","East Coast (PADD 1)","164","182","148","157","179","150"
"Refiner and Blender Net Production ","Midwest (PADD 2)","468","510","411","363","488","407"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,019","1,062","993","1,002","1,038","979"
"Refiner and Blender Net Production ","PADDs 4 and 5","185","185","215","175","190","188"
"Ethanol Plant Production ","Fuel Ethanol","996","1,032","1,049","1,003","1,049","1,039"
"Ethanol Plant Production ","East Coast (PADD 1)","29","27","–","–","28","–"
"Ethanol Plant Production ","Midwest (PADD 2)","905","945","959","918","959","953"
"Ethanol Plant Production ","Gulf Coast (PADD 3)","27","25","–","–","28","–"
"Ethanol Plant Production ","Rocky Mountain (PADD 4)","14","14","–","–","14","–"
"Ethanol Plant Production ","West Coast (PADD 5)","21","21","–","–","21","–"
